error_code,description,suggested_actions,category
101,Нет бумаги в принтере,"1. Откройте крышку принтера
2. Установите новый рулон бумаги
3. Закройте крышку и повторите операцию",Принтер
102,Замятие бумаги,"1. Выключите принтер
2. Откройте крышку и аккуратно извлеките замятую бумагу
3. Проверьте, не осталось ли обрывков
4. Включите принтер и повторите операцию",Принтер
103,Принтер не отвечает,"1. Проверьте подключение принтера
2. Перезагрузите принтер
3. Если проблема сохраняется, обратитесь в техподдержку",Принтер
201,Нет связи с сервером,"1. Проверьте подключение к интернету
2. Перезагрузите роутер
3. Если проблема сохраняется, обратитесь в техподдержку",Сеть
202,Таймаут соединения,"1. Проверьте скорость интернет-соединения
2. Повторите операцию через несколько секунд
3. Если проблема повторяется, перезагрузите устройство",Сеть
301,Смена не открыта,"1. Выполните открытие смены
2. При необходимости обратитесь к администратору",Касса
302,Смена уже закрыта,"1. Откройте новую смену
2. Повторите операцию",Касса
401,Неверный пароль,"1. Проверьте правильность введённого пароля
2. При многократных ошибках обратитесь к администратору для сброса пароля",Авторизация
402,Пользователь заблокирован,"1. Обратитесь к администратору для разблокировки
2. Проверьте причину блокировки",Авторизация
501,Неизвестная ошибка,"1. Перезагрузите приложение
2. Если ошибка повторяется, обратитесь в техподдержку",Общие
